tag,pattern,response,Sentiment
family-conflict,Why cant my mom ever be proud of me?,"Breaking the patterns of relating to family members, is difficult work.In the situation you describe, both you and the family members who ask for your intervention, will be affected by any change you decide to make in the way all of you handle family disagreements. Does something else other than this bother you?|Coming out to family members can cause a lot of anxiety. However, although I cannot promise what their reaction will be, it would be best to have a serious conversation with them|You undoubtedly are carrying a huge weight on your shoulders. Stressors come in many forms and you are engulfed in a few of the major ones as it relates to dealing with the declining health of your father, family conflict, as well as trying to balance a work and school schedule. Do you think this situation may be related to something else.",negative
user,"I have been seeing this guy for a little over a year. Back in August, he asked for us to step back for now. Since then, he has still been in contact with me every day. We spent some time together over the holidays, but then I was gone for New Years with family. I came to find out that he put himself on a dating site. When I found out, I asked him about it, and he responded with this My apologies if I got my signals crossed, or if I wasnt honest with you. You have helped me tons this past year and I am glad you are in my life. I didnt realize you were still interested in dating. Again, my apologies. Also, is it better to say that I want him in my life or that I want him as part of my life?",,positive
user,"I have known I was always different. This year, in December, I found out that I never felt female. I did research and have identified myself as male but dont know how to tell my dad.",,neutral
greetings,hey,"Hello! How are you today!|Hey! What's up|Hey, How are you feeling today",positive
user,"That phrase makes me crazy. It happens anytime I point out something to my husband that he needs to change, such as looking up from his iPad long enough for me to tell him the grandbaby almost pulled the shelf unit over or explaining to him that I got all the things he needs to bake a pie. Another example is when he opens the front door, the dog runs out if he doesnt pick him up. Over and over again, he lets the dog run out, and I am afraid he will get hit by a car.",,negative
user,"I feel so alone. I have so many people around me, but it seems as they just listen and dont understand.  They say it will all be okay, or they dont listen to me st all.  Everyone says they are here for me but it doesnt feel like they are. Why do I feel so alone?",,negative
relationship-a,Im having a lot of conflict in my relationship,"Often, communication is the key within relationships. When faced with our significant other telling us about a â€œcrushâ€, it can create or highlight feelings or thoughts that can promote feelings of insecurity.|Love is not enough to keep a relationship together.The people need to get along happily too.Let's start with knowing more about your happiness in being with your partner|I'm truly sorry to hear that your relationship is causing you such distress at this time. When we are in relationships, trust is so integral to our satisfaction within the relationship. Often, when we feel we are required to prove ourselves, feelings of resentment can replace those feelings of wanting to be supportive.In situations like this, I would recommend being open and honest in your communication.",negative
relationship-b,Why is it hard for me to express myself?,"Although we can have moments when we feel alone, even with the presence of family and friends, feeling alone most of the time could be a sign that there is a lack of connection between you and your loved ones. Generally, the lack of connection can occur when you don't feel heard, understood or valued. These are common emotional needs that result in a good and secure emotional connection that reduces feelings of loneliness. Would you say it's accurate to say so.|Attention is often something that is both wanted and sometimes not wanted all the time. Sometimes it's best to think clearly what is required by you in current time in life.|The best approach may be to take time to get yourself together, mature, learn, outside of a intimate relationship, does something similar also bother you?",negative
self-esteem-B,How can I feel less selfconscious about my weight?,"Have you spoken to your health care provider about your situation? You may not have a medical issue. Â  A lot of times we try to have the 'perfect' body when in reality we try to live up to social standards.|I also want to note that we, as a society, are especially judgemental about how people present themselves. Do you have anything specific in mind which could've led to this?|I get how you feel; you wish your body looked different and you're embarrassed that you may tried to make it look different and people may notice, has any specific incident led to this?",negative
user,"My toddler defies everything I say and doesnt see me as authoritative, so she says no about everything. Id like to hear some ways I can work on not needing to feel so much in control all the time.",,positive
family-conflict,"I have a mother who is still running my life even though Im almost 30 years old. I want to move out and live my own life, but it feels like as long as I do what my mom wants our relationship is okay. Its never okay if I dont do what she wants.    I dont know how to start making my own decisions and not worry about whether its right in her eyes. Would it help for me to talk to someone about this?","Breaking the patterns of relating to family members, is difficult work.In the situation you describe, both you and the family members who ask for your intervention, will be affected by any change you decide to make in the way all of you handle family disagreements. Does something else other than this bother you?|Coming out to family members can cause a lot of anxiety. However, although I cannot promise what their reaction will be, it would be best to have a serious conversation with them|You undoubtedly are carrying a huge weight on your shoulders. Stressors come in many forms and you are engulfed in a few of the major ones as it relates to dealing with the declining health of your father, family conflict, as well as trying to balance a work and school schedule. Do you think this situation may be related to something else.",negative
user,"It happens especially at me and my sister, and then she gets emotional and brings up the past. How should I deal with it? She is always stressed about her work and doesnt put her family first.",,negative
substanceabuse-a,"Im planning to have baby, so I have to quit smoking  but its hard. Sometimes its not a physical need, its mental.I cannot help myself from thinking about smoking. What can I do to get rid of this addiction?","Studies have proven that addiction affects the brain, there are many coping skills that addicts use to enable their addiction as well. Â I would recommend that you speak with someone abut your relationship and your concerns. Â Not only so you can have more clarity in the situation but we often tend to gravitate around or toward the same types of individuals. Â Being more aware of your relationship will help you in the future when re-engaging in personal relationships.|The first step to change is to admit that you have a problem that is in need of change. Frequently our problems keep us in denial. Although feeling hopeless is an uncomfortable feeling, it suggests to me that you know that you can not do this alone. The best course of treatment for you is to treat the problem head on.What else are you feeling along with this?|You are not hopeless, as you can see there are many people who care about your well being and believe you can overcome this. Why do you feel you are facing such things?",negative
greetings,whats up?,"Hello! How are you today!|Hey! What's up|Hey, How are you feeling today",positive
domesticviolence,"I am a survivor of domestic violence from a past relationship. Even after seven years, I still have horrible nightmares. I wake up in sweat, and the dreams feel so real.","I'm glad that you are reaching out for help. What you are going though sounds overwhelming and exhausting. One thing you could try is to them your partner when they're not angry about other things to talk about|It sounds like you are in a tough situation. You have to ask yourself why you don't want to leave them. Is it because of other reasons? Or is it because you want the relationship to work? You must consider that being in an abusive relationship is not healthy for anyone. So if the abuse continues, it would be more beneficial for you to move out.On the other hand, if you are just wanting the relationship to work out despite its current state, you need to evaluate whether the relationship is worth salvaging.|Firstly, here, changes need to be made quickly. Taking control of your emotions needs to happen sooner than later. If left unresolved, it will follow you into any relationship you have.aling with your emotions.",negative
user,"I get so much anxiety, and I dont know why. I feel like I cant do anything by myself because Im scared of the outcomes.",,negative
user,I avoid talking to him because he always makes me more upset. I cant be honest with him about anything because he is always rude to me.,,negative
user,"It was over 20 years ago, but the pain has resurfaced again now because I have started seeing her Facebook posts about how great her life is. I feel so angry. How can I handle this?",,negative
user,"A year ago, the love of my life left me and never looked back. Our son was two months old at the time and it broke my heart. I miss her so much and cant seem to get over  being so heartbroken.",,positive
family-conflict,My parents are threatening to send me away if I dont play basketball for a team I hate,"Breaking the patterns of relating to family members, is difficult work.In the situation you describe, both you and the family members who ask for your intervention, will be affected by any change you decide to make in the way all of you handle family disagreements. Does something else other than this bother you?|Coming out to family members can cause a lot of anxiety. However, although I cannot promise what their reaction will be, it would be best to have a serious conversation with them|You undoubtedly are carrying a huge weight on your shoulders. Stressors come in many forms and you are engulfed in a few of the major ones as it relates to dealing with the declining health of your father, family conflict, as well as trying to balance a work and school schedule. Do you think this situation may be related to something else.",negative
user,"My husband told me last year he never loved me and should have never married me. Hes been talking about divorce, but he hasnt filed. Now he has a girlfriend and he abandoned me and his kids. He has no financial help, and he has been out of the home for four months. He became very angry and mean. He says its all my fault, and that were not compatible.",,negative
user,"After he got home from the hospital he was angry, then for a time wonderful.  Now he is depressed and hopeless again.",,negative
self-esteem-A,"I have been bullied for five years for taking stress, it is now sinking in, and I cant stop it. For some other reason, I cant find a hobby I can see myself doing without thinking bad about myself","A lot of times, these feelings are the result of the people in your life treating you a certain way. You internalize it and accept it as your reality. Do you feel something like this might have happened to you?|I'm glad that you are reaching out for help. What you are experiencing is common for people who have experienced abuse, neglect, or other forms of trauma. When people experience trauma they develop a feeling of shame and start becoming self critical. Therapy can help regulate these thoughts and feelings of abandonment so they are not so overwhelming. Negative self talk can be extremely exhausting. Do you feel something might have occured in your past leading to this?|Hello. It sounds to me like you are carrying an enormous amount of emotional weight. First and foremost, cut yourself some slack. No one is perfect. We fail more often than we succeed, but in the end we learn, and that learning helps us grow",negative
user,"My fianc and I have almost the best relationship every girl wants, but lately its changed. I get less attention and little to no intercourse. He works a lot and goes to the gym a lot hes a football player for an indoor league, but he has no time for me. We live two hours from family, and when I leave home to see family, hell text me saying whatever and leave me alone. But when were together, everything is okay. No fighting or anything. I love this man, but I just dont know what to do anymore.",,neutral
user,"My husband and I had our first threesome recently. Everyone was drinking and he was on her more then me.    He and I talked about it afterwards and it made me feel better, and now Im craving more of it. But before it gets close to happening I get this empty feeling. Why am I feeling this way?",,negative
greetings,greetings,"Hello! How are you today!|Hey! What's up|Hey, How are you feeling today",positive
relationship-a,"My boyfriend is always saying hes done with me and says hes leaving, but then at the end of the night, hes still here. He wakes up in the morning, acts like nothing happen, and repeats this every night.","Often, communication is the key within relationships. When faced with our significant other telling us about a â€œcrushâ€, it can create or highlight feelings or thoughts that can promote feelings of insecurity.|Love is not enough to keep a relationship together.The people need to get along happily too.Let's start with knowing more about your happiness in being with your partner|I'm truly sorry to hear that your relationship is causing you such distress at this time. When we are in relationships, trust is so integral to our satisfaction within the relationship. Often, when we feel we are required to prove ourselves, feelings of resentment can replace those feelings of wanting to be supportive.In situations like this, I would recommend being open and honest in your communication.",negative
user,"How do you know you have the right therapist for you?
 How would I know how to train my therapist to be able to give me what I need from treatment?",,negative
relationship-b,I feel like I could never be with anyone because no one would want me,"Although we can have moments when we feel alone, even with the presence of family and friends, feeling alone most of the time could be a sign that there is a lack of connection between you and your loved ones. Generally, the lack of connection can occur when you don't feel heard, understood or valued. These are common emotional needs that result in a good and secure emotional connection that reduces feelings of loneliness. Would you say it's accurate to say so.|Attention is often something that is both wanted and sometimes not wanted all the time. Sometimes it's best to think clearly what is required by you in current time in life.|The best approach may be to take time to get yourself together, mature, learn, outside of a intimate relationship, does something similar also bother you?",negative
relationship-b,Why do I feel like I always need to be in a relationship?,"Although we can have moments when we feel alone, even with the presence of family and friends, feeling alone most of the time could be a sign that there is a lack of connection between you and your loved ones. Generally, the lack of connection can occur when you don't feel heard, understood or valued. These are common emotional needs that result in a good and secure emotional connection that reduces feelings of loneliness. Would you say it's accurate to say so.|Attention is often something that is both wanted and sometimes not wanted all the time. Sometimes it's best to think clearly what is required by you in current time in life.|The best approach may be to take time to get yourself together, mature, learn, outside of a intimate relationship, does something similar also bother you?",negative
user,"There are issues from my past that have me very heavily burdened in my heart. Ive been torn for so many years and I need help so I can move on with my life.
   I experienced trauma when I was 8 years old and I did come out about it until I was 40.
   Now I know this is whats holding me back on my happiness. Ive met a very loving and caring man but because Im holding on to these things from my past Im pushing him away.
   How can I get my life back?",,positive
relationship-a,My girlfriend recently started hanging out a lot more with one of her friends who did her wrong in the past and just walked out on her. So for the past 3 years its been just me and my girlfriend. Things have been great up until the last month. Now she ignores me and texts and hangs oit with her friend more and more. I dont know what to do anymore. My girlfriend is so distant. How do I keep from losing her?,"Often, communication is the key within relationships. When faced with our significant other telling us about a â€œcrushâ€, it can create or highlight feelings or thoughts that can promote feelings of insecurity.|Love is not enough to keep a relationship together.The people need to get along happily too.Let's start with knowing more about your happiness in being with your partner|I'm truly sorry to hear that your relationship is causing you such distress at this time. When we are in relationships, trust is so integral to our satisfaction within the relationship. Often, when we feel we are required to prove ourselves, feelings of resentment can replace those feelings of wanting to be supportive.In situations like this, I would recommend being open and honest in your communication.",negative
user,"My exboyfriend and I have been back and forth for over a year now. Hes in his late 20s, divorced for like five years now with two kids. He has a lot of narcissistic behaviors. He lies and cheats, but I love him. Ive tried to date other people, but I always go back to him.",,positive
user,"I was the one who ended it, and Im so glad I did. It was the best decision I made in my life. But how do I stop the nightmares and flashbacks? It is creating a wall in my current relationship.",,positive
user,"Ever since my exboyfriend and I broke up, I cant seem to get close to anyone else. I know Im completely over him, but I just cant break down my walls and let someone new into my life.",,neutral
user,"I have been married for 20 years. He and I both cheated. I hid my cheating for 14 years. Over that time, I let life stress me out. I became depressed. When I finally woke up, he felt I had pushed him out.",,negative
user,"My exboyfriend, will not stop harassing and stalking me. We work together. I honestly think he needs help to move on. His accusations are angry lies. But I think he may believe them to be true.",,positive
user,"Im a teenager, and I created a sort of imaginary friend to help me cope with stressful situations or if Im worried or upset. She gives me advice and comforts me and tells me itll be okay. Ive given her a name Solace and created a personality for her thats like a comforting motherly figure. I know its just my own advice and my own thoughts, but its just that Im thinking of them through a voice other than my own. I do this because I know I never really listen to my own advice, and I thought it would be better if it was through someone else who knew my thought process in and out, through this imaginary friend. Is this normal? Could it develop into a separate personality with time if I continue a mentality that she is her own person?",,positive
user,"Im in a longdistance relationship with my ideal man, but Im not as attracted to him as I should be. Everything else is perfect about him, but I find myself lusting over more attractive men. The next step is marriage, but I want to marry someone who I can wake up to and fall in love with all over again. However, I also dont want to throw away a great relationship over what might just be lust. Am I asking for too much in the perfect guy? Is there such a thing? Am I truly in love?",,positive
user,"After I told them, they yelled at me.",,negative
user,"Sometimes I cant stop thinking about life after death. I was raised in a religion that teaches that we will live on forever either in hell or in heaven.  When I think of living forever even if it is in heaven which should be good, I feel overwhelmed. I dont like the thought of living forever and ever and ever. Sometimes I just cant get the thought out of my mind and the thoughts lead to panic and anxiety.  Am I crazy? I dont think these thoughts are normal.",,neutral
user,"Cheating is something unacceptable for me but because we have two daughters I decided not to break up the family.
However, now I am struggling to forget and forgive what happened. I feel like I cannot trust him. Without trust, I cannot stay in this relationship. On the other hand, I do not want my children to get hurt. Im not sure how to move forward?",,negative
user,"Tonight, my husband seemed to put our son down through an incorrect approach. His approach was perfectly wrong. I found myself defending my son. I told him that what he did was not the way to encourage our son.
 Instead of watching my husbands harsh behavior I decided to sit beside my son and, together, we worked on his science assignment in order to encourage him to study. My husband got upset and he was swearing at me. He threatened me. I knew that he was not joking. His words scared me a lot!",,negative
greetings,how is it going,"Hello! How are you today!|Hey! What's up|Hey, How are you feeling today",negative
family-conflict,Some adult family members are acting erratically in my house,"Breaking the patterns of relating to family members, is difficult work.In the situation you describe, both you and the family members who ask for your intervention, will be affected by any change you decide to make in the way all of you handle family disagreements. Does something else other than this bother you?|Coming out to family members can cause a lot of anxiety. However, although I cannot promise what their reaction will be, it would be best to have a serious conversation with them|You undoubtedly are carrying a huge weight on your shoulders. Stressors come in many forms and you are engulfed in a few of the major ones as it relates to dealing with the declining health of your father, family conflict, as well as trying to balance a work and school schedule. Do you think this situation may be related to something else.",negative
user,"Ive been feeling worthless, unaccomplished, and so frustrated. I want to break things, hit myself, run away, kick, scream, and cry. I just want to be happy and outgoing again. I want to be able to take care of my daughter and live comfortably.",,negative
goodbye,goodbye,Talk to you later!|Bye!|Goodbye!,negative
user,"Im a male in my 20s. My girlfriend is in her late 30s. Shes great. Shes funny and smart, she has a big heart, and we have an excellent sex life. She recently moved in with me partially because she wanted to and partially because she had no place to go. We fight a lot. Its mostly my fault, I must admit. She doesnt like my insecurity and lack of trust I have for her. I have trust issues. Also, I cant fathom why a woman like her is with me, so Im always dreading when a better dude will come along. I dont think shes happy. Shes very submissive and she loves me very much, but also the fact that she has nowhere to go must be influencing her decision to stay. I love her so much, but my jealousy is not likely to diminish. I never believed in the whole If you love them, let them go, but I do now. I really want her to be happy. Should I end it with her? She has no place to go so I feel like I cant break up with her. Im literally trapped.",,positive
substanceabuse-b,I dont know if my exboyfriend is using opiates again,Your friend needs to admit they have a problem. It can be more dangerous to take medication away than slowly tapering off of them. Like anything we put into our system our tolerance builds up and can effect us in different ways. I would listen to them and discuss why they feel that they need to be on the medications rather than playing bad cop in this situation.|I would suggest having a conversation with them. Usually there are other signs of use that can often be missed. Â Be aware of behavior changes and mood swings. Be supportive and ready to listen often times individuals suffering from addiction will deny use until they are ready for help.|I'm sorry to hear that they has been having such a rough time. They're lucky to have you on his side. What do you think would be the root of the problem?,negative
self-esteem-B,I hate the way I look,"Have you spoken to your health care provider about your situation? You may not have a medical issue. Â  A lot of times we try to have the 'perfect' body when in reality we try to live up to social standards.|I also want to note that we, as a society, are especially judgemental about how people present themselves. Do you have anything specific in mind which could've led to this?|I get how you feel; you wish your body looked different and you're embarrassed that you may tried to make it look different and people may notice, has any specific incident led to this?",negative
angermanagement-b,Why did my boyfriend hit himself in the face during an argument?,"A lot of times the anger someone expresses is from feeling a deep level hurt within themselves.A surface situation, like, a store told you they'd have delivery of a certain item by Tuesday, and when that particular Tuesday comes, the store doesn't have what they told you they would, and you are furious.The fury may have more with many times before in your life, having been deeply let down by someone who mattered to your life at the time, who similarly promised something and failed to deliver whatever it is. Do you think it might be related to something like this?|It sounds to me like they are going through something, and I think you understand that. You might feel very helpless, sad, and disrespected at the same time. You can let him know when you feel disrespected, and what's not okay with you|First, let me extend my compassion to both of you,it sounds like you have a lot on your plates. Childhood trauma and past negative effects may lead to situations like this, do you hav something like this in mind which may have happened?",negative
user,"I met a guy a while ago, and I cant stop thinking about him. I feel like I love him, but I dont think I know him. What if he is not who I think he is? I cry sometimes thinking someone is going to be with him or that he has a girlfriend. I dont know, am I too obsessive? Every time we talk though, its like magic. He makes me feel amazing, but what if Im mistaken?",,positive
user,"My husband doesnt trust me for some past we had. I know all marriages have their ups and downs, but sometimes, I feel I am getting tired of the same thing over and over that I am messing around, which I am not.",,negative
substanceabuse-b,"My friend is abusing her prescription medicine. Even though she told me she didnt have any more pills, I found she has prescriptions for anxiety medications.",Your friend needs to admit they have a problem. It can be more dangerous to take medication away than slowly tapering off of them. Like anything we put into our system our tolerance builds up and can effect us in different ways. I would listen to them and discuss why they feel that they need to be on the medications rather than playing bad cop in this situation.|I would suggest having a conversation with them. Usually there are other signs of use that can often be missed. Â Be aware of behavior changes and mood swings. Be supportive and ready to listen often times individuals suffering from addiction will deny use until they are ready for help.|I'm sorry to hear that they has been having such a rough time. They're lucky to have you on his side. What do you think would be the root of the problem?,negative
domesticviolence,How do I get my partner to stop verbally abusing me?,"I'm glad that you are reaching out for help. What you are going though sounds overwhelming and exhausting. One thing you could try is to them your partner when they're not angry about other things to talk about|It sounds like you are in a tough situation. You have to ask yourself why you don't want to leave them. Is it because of other reasons? Or is it because you want the relationship to work? You must consider that being in an abusive relationship is not healthy for anyone. So if the abuse continues, it would be more beneficial for you to move out.On the other hand, if you are just wanting the relationship to work out despite its current state, you need to evaluate whether the relationship is worth salvaging.|Firstly, here, changes need to be made quickly. Taking control of your emotions needs to happen sooner than later. If left unresolved, it will follow you into any relationship you have.aling with your emotions.",negative
user,"I was raped by multiple men, and now I cant stand the sight of myself. I wear lingerie to get my self excited enough to have sex with my wife.",,neutral
user,Im obsessing about a terrible breakup. Everything is a constant reminder.  How do I move on?,,positive
user,Does counseling really do anything that can help people?,,negative
user,"My girlfriend was abused as a child. Now, if I hug or touch her in any kind of way she says she feels as if she is being abused as a child. What might be going on?",,negative
angermanagement-a,How can I just be happy and not mad all the time?,"Sometimes we react to situations immediately, without thinking of the consequences of our actions. Typically by not reacting right away, we are better able to gather our thoughts, see the situation more clearly and from other perspectives, and respond more calmly. One of the strategies that almost always helps is deep breathing. When faced with a stressful situation, you can give yourself a time out by removing yourself from the stress and spend 5 minutes taking deep breaths (breathe in slowly counting to 4 and breathe out even slower counting to 6), while focusing and thinking  only about your breathing. After doing so, think of the various ways you can respond to the situation and choose the one most appropriate.|Are you facing any type of overwhelming situation in your life? which may lead to smething like this?|Anyone who asks whether or not they have a problem, usually feels at least partly, that they do have a problem.Your answer to the question is what matters.Since you already understand that your reaction is overstated to the events which trigger them, the reactions you're having are more than likely anger that is leftover from past events, either in the near or distant past.Be aware, consider, reflect on Â how you usually handle feeling angry. Â Based on your description here, it is quite likely that the anger you show toward what you call 'little things' reflect anger at much bigger matters that are uncomfortable and not easy to understand.Knowing more about the more significant matters causing frustration for you, may very likely decrease reacting angrily toward smaller matters.",positive
user,She is living with her boyfriend of seven years. He is in therapy for depression and social anxiety. He hasnt worked in all this time.,,negative
self-esteem-A,I feel like I hate myself physically and emotionally sometimes.,"A lot of times, these feelings are the result of the people in your life treating you a certain way. You internalize it and accept it as your reality. Do you feel something like this might have happened to you?|I'm glad that you are reaching out for help. What you are experiencing is common for people who have experienced abuse, neglect, or other forms of trauma. When people experience trauma they develop a feeling of shame and start becoming self critical. Therapy can help regulate these thoughts and feelings of abandonment so they are not so overwhelming. Negative self talk can be extremely exhausting. Do you feel something might have occured in your past leading to this?|Hello. It sounds to me like you are carrying an enormous amount of emotional weight. First and foremost, cut yourself some slack. No one is perfect. We fail more often than we succeed, but in the end we learn, and that learning helps us grow",negative
user,"Im depressed often, and my mind goes a million miles a minute. Every once in a while, things are okay for a few days. After a bit, I start noticing that I am picking at my skin profusely. After roughly a week, the anxiety is back and still picking. Sometimes I find myself causing fights to have change.",,neutral
griefandloss,"I lost my mom, and I feel like Im depressed","Y'know, to see soemeone you've loved and care for pass on must make you want to cry. And, may I say to you, if you need to mourn, take about a week or so and mourn like your life depended on it.And then, after about a week or so, it will help greatly.|I am so sorry to hear about your loss. They must have been very special to you and it definitely makes sense that you are having a hard time with it. A possibility is a support group for bereavement and loss. Many are free.Â I wish you the best towards healing your heart.|Death and grief bring up so many painful reminders of relationships--what they could have been, never were, and what was lost. Please take some time to yourself to recope with it.",negative
user,"I use to be so happy. No matter what, I always was happy. I got into a relationship with this guy. I love him so much. Were both teenagers. The week after his birthday, my mom made me stop talking to him. It broke me. He came to my house and talked to her, and she let us date again but not see each other. He comes up to my school every day and it tears me apart that I have to lie to her.",,positive
self-esteem-A,Why am I so nervous talking to people?,"A lot of times, these feelings are the result of the people in your life treating you a certain way. You internalize it and accept it as your reality. Do you feel something like this might have happened to you?|I'm glad that you are reaching out for help. What you are experiencing is common for people who have experienced abuse, neglect, or other forms of trauma. When people experience trauma they develop a feeling of shame and start becoming self critical. Therapy can help regulate these thoughts and feelings of abandonment so they are not so overwhelming. Negative self talk can be extremely exhausting. Do you feel something might have occured in your past leading to this?|Hello. It sounds to me like you are carrying an enormous amount of emotional weight. First and foremost, cut yourself some slack. No one is perfect. We fail more often than we succeed, but in the end we learn, and that learning helps us grow",negative
user,"I dont love my sister. I would never wish her harm, but if I could, I would wish for us not to be related. Is this cruel? Why must blood mean we have to be friends? Am I being unreasonable and is there a way to fix this? I do care about her, like I do every human being, but Id rather be with my friends than be with her at all. Its not just a teenager phase. I still love my mom and dad, and Im very close to them. However, its my sister I dont love or have ever really liked at all.",,positive
user,I feel like I would be more comfortable as a girl even though I still like girls. I think Im like a girl stuck in a guy body. I imagine myself as a girl too. I think this more because my friends say that if I was a girl I would be a hot looking one. And I dont care about having boobs or anything. I just feel like the way that I do act will make more sense if I was a girl.,,negative
substanceabuse-a,"I have bipolar II disorder, Im addicted to alcohol and weed, and Im hopeless. I keep drinking even though its harming myself and others.","Studies have proven that addiction affects the brain, there are many coping skills that addicts use to enable their addiction as well. Â I would recommend that you speak with someone abut your relationship and your concerns. Â Not only so you can have more clarity in the situation but we often tend to gravitate around or toward the same types of individuals. Â Being more aware of your relationship will help you in the future when re-engaging in personal relationships.|The first step to change is to admit that you have a problem that is in need of change. Frequently our problems keep us in denial. Although feeling hopeless is an uncomfortable feeling, it suggests to me that you know that you can not do this alone. The best course of treatment for you is to treat the problem head on.What else are you feeling along with this?|You are not hopeless, as you can see there are many people who care about your well being and believe you can overcome this. Why do you feel you are facing such things?",negative
user,"My boyfriend wont touch me intimately, he wont kiss me while we are having sex and he wont have oral sex with me. I know he has done this things with other women in the past. I dont know why he wont do them with me. What should I do?",,positive
relationship-b,"I was never single, afraid to be alone, and I looked for my boyfriend to make me happy. I finally worked on my self, was in a relationship, and I did everything a healthy girlfriend does and it didnt work out. Now months later, no man peaks my interest. Am I ready to date again? Is there a reason no one sparks my interest?","Although we can have moments when we feel alone, even with the presence of family and friends, feeling alone most of the time could be a sign that there is a lack of connection between you and your loved ones. Generally, the lack of connection can occur when you don't feel heard, understood or valued. These are common emotional needs that result in a good and secure emotional connection that reduces feelings of loneliness. Would you say it's accurate to say so.|Attention is often something that is both wanted and sometimes not wanted all the time. Sometimes it's best to think clearly what is required by you in current time in life.|The best approach may be to take time to get yourself together, mature, learn, outside of a intimate relationship, does something similar also bother you?",negative
relationship-b,"I have suffered many things at home and school. We never went to the doctor to diagnose depression or anything like that, but I always feel like a part of my heart is missing. I try to fill it in with objects or, in this case, a woman.","Although we can have moments when we feel alone, even with the presence of family and friends, feeling alone most of the time could be a sign that there is a lack of connection between you and your loved ones. Generally, the lack of connection can occur when you don't feel heard, understood or valued. These are common emotional needs that result in a good and secure emotional connection that reduces feelings of loneliness. Would you say it's accurate to say so.|Attention is often something that is both wanted and sometimes not wanted all the time. Sometimes it's best to think clearly what is required by you in current time in life.|The best approach may be to take time to get yourself together, mature, learn, outside of a intimate relationship, does something similar also bother you?",negative
angermanagement-b,"Every time I speak, he says I anger him. Also, when hes mad at something, like work, he gets angry at me. I feel like were so distant from each other now. We used to laugh all the time, and I feel like he lets too much negativity in. What should I do? Weve been married for two years but together for seven.","A lot of times the anger someone expresses is from feeling a deep level hurt within themselves.A surface situation, like, a store told you they'd have delivery of a certain item by Tuesday, and when that particular Tuesday comes, the store doesn't have what they told you they would, and you are furious.The fury may have more with many times before in your life, having been deeply let down by someone who mattered to your life at the time, who similarly promised something and failed to deliver whatever it is. Do you think it might be related to something like this?|It sounds to me like they are going through something, and I think you understand that. You might feel very helpless, sad, and disrespected at the same time. You can let him know when you feel disrespected, and what's not okay with you|First, let me extend my compassion to both of you,it sounds like you have a lot on your plates. Childhood trauma and past negative effects may lead to situations like this, do you hav something like this in mind which may have happened?",negative
self-esteem-A,"Im worn out, Ive worked on all of my family relationships, Im doing great in school, Im kind to those in need and otherwise. I stick to my religious beliefs and leave room for mistakes and learn from others so I dont have to make as many and the ones I do I learn from.","A lot of times, these feelings are the result of the people in your life treating you a certain way. You internalize it and accept it as your reality. Do you feel something like this might have happened to you?|I'm glad that you are reaching out for help. What you are experiencing is common for people who have experienced abuse, neglect, or other forms of trauma. When people experience trauma they develop a feeling of shame and start becoming self critical. Therapy can help regulate these thoughts and feelings of abandonment so they are not so overwhelming. Negative self talk can be extremely exhausting. Do you feel something might have occured in your past leading to this?|Hello. It sounds to me like you are carrying an enormous amount of emotional weight. First and foremost, cut yourself some slack. No one is perfect. We fail more often than we succeed, but in the end we learn, and that learning helps us grow",negative
griefandloss,I feel guilty about my fathers death,"Y'know, to see soemeone you've loved and care for pass on must make you want to cry. And, may I say to you, if you need to mourn, take about a week or so and mourn like your life depended on it.And then, after about a week or so, it will help greatly.|I am so sorry to hear about your loss. They must have been very special to you and it definitely makes sense that you are having a hard time with it. A possibility is a support group for bereavement and loss. Many are free.Â I wish you the best towards healing your heart.|Death and grief bring up so many painful reminders of relationships--what they could have been, never were, and what was lost. Please take some time to yourself to recope with it.",negative
user,"My partner and I have had an amazing relationship and connection for over two years. Were very committed to each other and are planning a very long life together. However, he recently was very open and honest that he isnt interested in having sex with me anymore. He says this has happened in every past relationships and has ended it as a result. He knows its because its the same person feeling, but how can he get over this?",,positive
user,"I have lately been having lots of anxiety and selfloathing about the fact that I am a young adult virgin girl who has never had a boyfriend before. It seems like everyone my age has already had boyfriends by now or are not virgins anymore, and I just had my first kiss five months ago. Im worried that, at this rate, I wont have a boyfriend for a very long time. The problem is that I want to lose my virginity to my first boyfriend who cares about me, but at the same time, I dont want to be waiting forever in order to experience sex. I have already given in to bad temptations by hooking up with random strangers on social media sites and having oral sex with them. Luckily, they were nice guys, but none of them wanted a relationship with me. I feel dirty by doing this, but I feel pressured to do this things in order to seem normal.

Most people are surprised when they find out that I am a virgin or never had a boyfriend because people think I am really good looking. I am tall, I play lots of sports, and I get excellent grades in school. I am in my first year of university right now, and no guys have approached me to go out on a date or showed any interest. It bothers me. Most of the people in my family have been in relationships at my age already. I feel like I will be single forever sometimes.",,negative
